Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
2020-21,2020-09-12,Eibar,0,0,0,-1,0.0,0.0,Celta,0,0,0,-1,0.0,0.0,D,0.0,0.0,0.0,0.0
2020-21,2020-09-12,Granada,0,0,0,-1,0.0,0.0,Ath Bilbao,0,0,0,-1,0.0,0.0,H,2.0,0.0,0.0,0.0
2020-21,2020-09-12,Cadiz,0,0,0,-1,0.0,0.0,Osasuna,0,0,0,-1,0.0,0.0,A,0.0,0.0,2.0,1.0
2020-21,2020-09-13,Alaves,0,0,0,-1,0.0,0.0,Betis,0,0,0,-1,0.0,0.0,A,0.0,0.0,1.0,0.0
2020-21,2020-09-13,Valladolid,0,0,0,-1,0.0,0.0,Sociedad,0,0,0,-1,0.0,0.0,D,1.0,1.0,1.0,0.0
2020-21,2020-09-13,Villarreal,0,0,0,-1,0.0,0.0,Huesca,0,0,0,-1,0.0,0.0,D,1.0,0.0,1.0,1.0
2020-21,2020-09-13,Valencia,0,0,0,-1,0.0,0.0,Levante,0,0,0,-1,0.0,0.0,H,4.0,2.0,2.0,2.0
2020-21,2020-09-19,Villarreal,1,1,1,9,0.0,1.0,Eibar,0,0,1,5,0.0,0.0,H,2.0,0.0,1.0,0.0
2020-21,2020-09-19,Getafe,0,0,0,-1,0.0,0.0,Osasuna,2,0,3,2,1.0,0.0,H,1.0,0.0,0.0,0.0
2020-21,2020-09-19,Celta,0,0,1,6,0.0,0.0,Valencia,4,2,3,4,2.0,2.0,H,2.0,1.0,1.0,0.0
2020-21,2020-09-20,Huesca,1,1,1,11,1.0,0.0,Cadiz,0,2,0,13,0.0,1.0,A,0.0,0.0,2.0,1.0
2020-21,2020-09-20,Betis,1,0,3,5,0.0,0.0,Valladolid,1,1,1,9,1.0,0.0,H,2.0,2.0,0.0,0.0
2020-21,2020-09-20,Granada,2,0,3,3,0.0,0.0,Alaves,0,1,0,14,0.0,0.0,H,2.0,1.0,1.0,1.0
2020-21,2020-09-20,Sociedad,1,1,1,10,0.0,1.0,Real Madrid,0,0,0,-1,0.0,0.0,D,0.0,0.0,0.0,0.0
